customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Score_No,Score_Yes
4549-ZDQYY,Female,0,No,No,52,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,57.95,3042.25,No,0.977976895594309,2.20231044056905e-02
4846-WHAFZ,Female,1,Yes,No,37,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,76.5,2868.15,Yes,0.522438289268091,0.477561710731909
5256-SKJGO,Female,0,Yes,Yes,64,DSL,No,Yes,No,Yes,Yes,Yes,Twoyear,Yes,54.6,3423.5,No,0.983061121135623,1.69388788643767e-02
1091-SOZGA,Female,0,Yes,Yes,56,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,Yes,99.8,5515.45,No,0.74811070649241,0.25188929350759
7219-TLZHO,Female,0,Yes,Yes,4,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.85,62.9,No,0.823144626315431,0.176855373684569
4622-YNKIJ,Male,0,No,No,33,Fiberoptic,Yes,No,No,Yes,Yes,No,Twoyear,Yes,88.95,3027.65,No,0.910385719358087,8.96142806419133e-02
6734-PSBAW,Male,0,Yes,No,72,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,23.55,1723.95,No,0.997245337611061,2.75466238893905e-03
2876-GZYZC,Female,0,No,No,13,Fiberoptic,No,No,No,No,No,Yes,Month-to-month,Yes,85.95,1215.65,No,0.350138292917682,0.649861707082318
3091-FYHKI,Male,0,No,No,1,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,35.45,35.45,Yes,0.362525286462097,0.637474713537903
7799-LGRDP,Female,0,No,No,43,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,25.7,1188.2,No,0.987695200481781,1.23047995182186e-02
3774-VBNXY,Female,0,Yes,Yes,64,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,20.2,1277.75,No,0.997391376069311,2.60862393068878e-03
0390-DCFDQ,Female,1,Yes,No,1,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,70.45,70.45,Yes,0.248839342681625,0.751160657318375
3466-BYAVD,Male,0,Yes,Yes,15,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,69.5,1071.4,No,0.773103980857182,0.226896019142817
1679-JRFBR,Female,0,Yes,Yes,70,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,Yes,108.15,7930.55,No,0.838523616704133,0.161476383295867
9073-ZZIAY,Male,0,Yes,Yes,62,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,No,86.1,5215.25,No,0.989342393166041,1.06576068339594e-02
7554-NEWDD,Male,0,No,No,10,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,25.7,251.6,No,0.962067742735376,3.79322572646242e-02
3376-BMGFE,Female,0,No,No,4,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,70.9,273,Yes,0.329478396379965,0.670521603620035
7654-YWJUF,Male,0,Yes,No,43,Fiberoptic,Yes,No,Yes,Yes,No,No,Oneyear,Yes,84.25,3539.25,No,0.903159630315237,9.68403696847629e-02
1875-QIVME,Female,0,Yes,No,2,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,104.4,242.8,Yes,0.394503321980706,0.605496678019294
4827-USJHP,Male,0,No,No,20,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,51.8,1023.85,No,0.709560571272496,0.290439428727504
2146-EGVDT,Male,0,Yes,Yes,59,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,19.3,1192.7,No,0.99675199404006,3.2480059599396e-03
9178-JHUVJ,Male,0,Yes,Yes,24,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,24.1,587.4,No,0.976778173740869,2.32218262591307e-02
6168-YBYNP,Male,0,No,No,59,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,111.35,6519.75,No,0.714335244783758,0.285664755216242
3645-DEYGF,Male,0,No,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.75,20.75,No,0.795665890405092,0.204334109594908
8544-GOQSH,Female,0,No,No,14,Fiberoptic,No,Yes,No,Yes,No,No,Month-to-month,Yes,80.05,1112.3,No,0.590624546618218,0.409375453381782
1347-KTTTA,Male,0,Yes,No,64,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Oneyear,Yes,102.45,6654.1,No,0.854806450520519,0.145193549479481
7841-TZDMQ,Male,0,No,No,2,DSL,No,No,No,No,No,No,Month-to-month,Yes,46,84.5,Yes,0.499045464562678,0.500954535437322
4195-NZGTA,Female,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,25.25,25.25,No,0.476446347656703,0.523553652343297
0699-NDKJM,Female,0,Yes,No,57,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,58.75,3437.45,No,0.864051402669146,0.135948597330854
9286-BHDQG,Male,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,No,No,Twoyear,No,45.25,3139.8,No,0.996982076537409,3.01792346259076e-03
0230-WEQUW,Male,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Yes,No,Twoyear,Yes,56.6,3789.2,No,0.990266673493173,9.73332650682679e-03
6496-JDSSB,Female,0,No,No,8,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,80,624.6,No,0.304415086021965,0.695584913978035
6469-MRVET,Male,0,Yes,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,20.2,20.2,No,0.857123899981844,0.142876100018156
5961-VUSRV,Female,0,No,No,12,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,19.35,219.35,No,0.889374570038361,0.110625429961639
6778-JFCMK,Male,0,No,No,24,DSL,Yes,No,No,No,Yes,Yes,Oneyear,Yes,50.6,1288.75,No,0.766662507599692,0.233337492400308
6341-JVQGF,Female,0,Yes,Yes,31,DSL,Yes,No,Yes,Yes,Yes,Yes,Oneyear,Yes,81.15,2545.75,No,0.910065861613511,8.99341383864887e-02
4811-JBUVU,Male,0,No,No,30,Fiberoptic,No,No,No,Yes,No,Yes,Month-to-month,Yes,89.9,2723.15,No,0.618416199037875,0.381583800962125
0945-TSONX,Female,0,Yes,Yes,47,DSL,Yes,Yes,No,Yes,Yes,Yes,Twoyear,Yes,85.3,4107.25,No,0.976232398980076,2.37676010199245e-02
9903-LYSAB,Male,0,Yes,No,18,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,73.15,1305.95,No,0.470451158666199,0.529548841333801
0094-OIFMO,Female,1,No,No,11,Fiberoptic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,95,1120.3,Yes,0.236937339291771,0.763062660708229
7576-ASEJU,Female,0,Yes,Yes,41,DSL,Yes,No,No,Yes,Yes,Yes,Oneyear,Yes,74.7,3187.65,No,0.930882721072034,6.91172789279661e-02
9058-HRZSV,Female,1,Yes,No,65,Fiberoptic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,94.4,6126.15,No,0.775988816731898,0.224011183268102
0221-WMXNQ,Male,1,No,No,4,Fiberoptic,Yes,No,No,No,No,No,Month-to-month,No,75.35,273.4,No,0.422735868954509,0.577264131045491
4075-JFPGR,Female,0,Yes,No,51,Fiberoptic,Yes,Yes,Yes,No,Yes,No,Oneyear,Yes,93.5,4619.55,No,0.837287051511837,0.162712948488163
9514-JDSKI,Male,1,Yes,No,1,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,40.2,40.2,Yes,0.410387724723964,0.589612275276036
4959-JOSRX,Female,0,Yes,No,2,DSL,No,No,No,No,No,No,Month-to-month,Yes,44.6,80.55,Yes,0.49982812377464,0.50017187622536
7273-TEFQD,Male,1,No,No,3,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,41.15,132.2,Yes,0.312272061231593,0.687727938768407
3606-TWKGI,Male,1,No,No,13,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,106.9,1364.3,Yes,0.280304198596148,0.719695801403852
7529-ZDFXI,Male,1,Yes,No,57,Fiberoptic,No,Yes,No,No,No,Yes,Month-to-month,Yes,89.85,4925.35,No,0.63614003990658,0.36385996009342
7605-BDWDC,Female,0,No,No,31,DSL,Yes,Yes,No,Yes,No,Yes,Twoyear,Yes,49.85,1520.1,No,0.962967693208829,3.70323067911707e-02
6292-TOSSS,Male,0,No,No,50,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,24.9,1195.25,No,0.994099966641326,5.90003335867441e-03
4385-GZQXV,Female,1,No,No,16,Fiberoptic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,94.45,1511.2,Yes,0.354256029625121,0.645743970374879
6366-ZGQGL,Male,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,24.8,24.8,Yes,0.485532244962143,0.514467755037857
4716-HHKQH,Male,1,Yes,No,20,Fiberoptic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,107.05,2172.05,No,0.540490530173359,0.459509469826641
6432-TWQLB,Male,0,Yes,No,5,Fiberoptic,No,Yes,No,Yes,No,No,Month-to-month,Yes,85.4,401.1,Yes,0.573238148964223,0.426761851035777
4484-GLZOU,Female,0,Yes,No,52,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,105.05,5624.85,Yes,0.550354293507352,0.449645706492648
3179-GBRWV,Male,1,Yes,No,21,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,64.95,1339.8,No,0.676301095043362,0.323698904956638
2080-SRCDE,Female,0,No,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,25.4,25.4,No,0.800594726539789,0.199405273460211
3488-PGMQJ,Male,1,No,No,8,Fiberoptic,No,Yes,No,No,No,No,Month-to-month,Yes,74.5,606.55,Yes,0.323122812927417,0.676877187072583
7534-BFESC,Male,1,No,No,24,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,76.1,1712.7,Yes,0.427754278892108,0.572245721107892
1563-IWQEX,Female,0,No,No,12,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,19.7,220.35,No,0.84774384667672,0.15225615332328
0895-LMRSF,Male,0,No,No,23,DSL,No,No,No,No,Yes,Yes,Oneyear,Yes,64.9,1509.8,No,0.728389117480686,0.271610882519314
8098-LLAZX,Female,1,No,No,4,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,Yes,95.45,396.1,Yes,0.193642714191085,0.806357285808915
3973-SKMLN,Male,0,No,No,71,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,19.9,1355.1,No,0.997059565040908,2.94043495909212e-03
9880-TDQAC,Female,0,Yes,Yes,72,DSL,No,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,60,4264,No,0.986341165566851,1.36588344331491e-02
8705-WZCYL,Male,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,44.8,44.8,No,0.483535641483654,0.516464358516346
8626-PTQGE,Male,0,No,No,69,DSL,Yes,Yes,No,Yes,Yes,Yes,Twoyear,Yes,60.05,4176.7,No,0.987213106104717,1.27868938952828e-02
5697-GOMBF,Female,1,Yes,Yes,28,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,35.9,973.65,No,0.600234517992902,0.399765482007098
2739-CACDQ,Female,1,No,No,17,Fiberoptic,No,No,Yes,No,No,No,Month-to-month,Yes,82.65,1470.05,No,0.358854003108159,0.641145996891841
0122-OAHPZ,Female,0,No,No,7,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,73.85,511.25,Yes,0.360584320680077,0.639415679319923
1343-EHPYB,Male,0,Yes,No,63,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,103.4,6603,Yes,0.625876681446877,0.374123318553123
0021-IKXGC,Female,1,No,No,1,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,72.1,72.1,No,0.241088912986151,0.758911087013849
2034-GDRCN,Female,0,No,No,2,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,Yes,90.4,168.2,Yes,0.23282558913615,0.76717441086385
9833-TGFHX,Male,0,Yes,Yes,42,Fiberoptic,Yes,No,No,No,Yes,Yes,Oneyear,No,97.1,4016.75,No,0.813526528796554,0.186473471203446
0104-PPXDV,Male,0,Yes,No,58,DSL,No,No,Yes,No,No,No,Oneyear,No,50.3,2878.55,No,0.965058788618385,3.49412113816149e-02
3583-KRKMD,Male,0,No,No,18,Fiberoptic,No,No,No,Yes,No,No,Month-to-month,Yes,75.9,1373.05,No,0.591916087130282,0.408083912869718
9069-LGEUL,Male,0,Yes,No,23,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,59.95,1406,No,0.729166855557808,0.270833144442192
0259-GBZSH,Male,0,No,No,2,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,85.65,181.5,Yes,0.292981676939321,0.707018323060679
6158-HDPXZ,Male,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,25.35,25.35,No,0.487723793037276,0.512276206962724
9601-BRXPO,Female,0,Yes,No,25,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,104.95,2566.5,Yes,0.527547037546758,0.472452962453242
5651-CRHKQ,Female,0,Yes,No,41,Fiberoptic,No,Yes,Yes,Yes,No,No,Oneyear,Yes,86.2,3339.05,No,0.877882737474678,0.122117262525322
8204-YJCLA,Male,1,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,64.8,4732.35,No,0.985348675361384,1.46513246386163e-02
5167-ZFFMM,Male,0,No,No,1,Fiberoptic,No,Yes,No,No,No,Yes,Month-to-month,Yes,90.85,90.85,Yes,0.333823194281419,0.666176805718581
0533-BNWKF,Female,1,Yes,No,55,Fiberoptic,No,Yes,Yes,No,No,No,Month-to-month,Yes,85.45,4874.7,Yes,0.65822053227412,0.34177946772588
5522-JBWMO,Male,0,No,Yes,1,DSL,No,No,No,No,No,No,Month-to-month,No,44,44,No,0.592298831347684,0.407701168652316
3597-MVHJT,Female,0,No,No,27,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,Yes,95.6,2595.25,No,0.377401598261544,0.622598401738456
9967-ATRFS,Female,0,No,No,19,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,19.9,367.55,No,0.886917133677595,0.113082866322405
2277-AXSDC,Female,0,No,No,32,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,19.75,624.15,No,0.967469122811107,3.25308771888934e-02
3067-SVMTC,Female,0,Yes,No,68,DSL,Yes,No,No,Yes,No,No,Oneyear,No,55.9,3848.8,No,0.988988363657888,1.10116363421115e-02
4800-VHZKI,Female,0,No,No,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,Yes,19.9,19.9,Yes,0.700603370887474,0.299396629112526
1996-DBMUS,Female,1,Yes,No,48,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,70.65,3545.05,No,0.595367431258568,0.404632568741432
5605-IYGFG,Female,0,No,No,7,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,69.85,515.45,No,0.345419031922318,0.654580968077682
7663-ZTEGJ,Male,0,No,Yes,29,Fiberoptic,No,Yes,Yes,Yes,No,Yes,Oneyear,No,100.55,2830.45,No,0.856163470230796,0.143836529769204
2055-SIFSS,Female,1,Yes,No,55,DSL,No,No,No,No,No,No,Month-to-month,No,51.65,2838.55,No,0.894127460374266,0.105872539625733
7781-HVGMK,Female,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,65.2,4784.45,No,0.989109510806811,1.08904891931892e-02
6048-NJXHX,Male,0,Yes,No,41,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,19.75,899.45,No,0.987652719804079,1.2347280195921e-02
2320-SLKMB,Female,0,No,No,26,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,44.45,1183.8,No,0.735137669730326,0.264862330269674
0206-TBWLC,Female,0,Yes,No,54,Fiberoptic,Yes,Yes,Yes,Yes,Yes,Yes,Oneyear,Yes,114.65,6049.5,No,0.867446773313188,0.132553226686812
7752-XUSCI,Female,0,No,No,60,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,105.9,6396.45,Yes,0.585072162382974,0.414927837617026
4110-PFEUZ,Female,0,No,No,1,Fiberoptic,No,No,No,No,No,No,Month-to-month,No,69.55,69.55,Yes,0.376059372037602,0.623940627962398
5168-MSWXT,Male,0,Yes,Yes,8,Fiberoptic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,94.75,759.55,No,0.313218370116786,0.686781629883214
1090-ESELR,Male,0,Yes,Yes,72,Fiberoptic,Yes,Yes,No,Yes,Yes,Yes,Twoyear,No,105.5,7611.55,No,0.972362172739176,2.76378272608236e-02
8592-PLTMQ,Female,0,No,No,64,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,24.7,1642.75,No,0.992713646279183,7.28635372081653e-03
5760-WRAHC,Female,1,No,No,22,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,69.75,1545.4,No,0.745771091555174,0.254228908444826
4785-FCIFB,Female,0,Yes,No,61,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,24.4,1417.9,No,0.996596140421096,3.40385957890376e-03
1452-VOQCH,Male,0,No,No,1,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,75.1,75.1,No,0.331545217175908,0.668454782824092
4719-UMSIY,Male,0,No,Yes,6,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,19.65,100.9,No,0.830880409377576,0.169119590622424
0880-TKATG,Male,0,Yes,Yes,4,Fiberoptic,No,No,Yes,No,Yes,Yes,Month-to-month,No,101.15,385.9,Yes,0.387974607555616,0.612025392444384
9076-AXYIK,Male,1,Yes,No,64,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Twoyear,No,102.1,6538.45,No,0.92157833318013,7.84216668198699e-02
4640-UHDOS,Female,0,Yes,Yes,13,DSL,No,No,No,No,No,Yes,Month-to-month,No,55.95,734.35,Yes,0.664980133026133,0.335019866973867
4104-PVRPS,Male,0,Yes,No,24,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,53.6,1315.35,No,0.898672068754895,0.101327931245105
9399-APLBT,Female,0,Yes,Yes,1,Fiberoptic,No,Yes,No,No,No,No,Month-to-month,Yes,74.7,74.7,Yes,0.389514265852928,0.610485734147072
0306-JAELE,Male,0,No,No,5,Fiberoptic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,96.1,453.4,Yes,0.390246811668591,0.609753188331409
0486-LGCCH,Male,0,Yes,Yes,11,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,19.65,225.75,No,0.967441031474569,3.25589685254311e-02
4612-SSVHJ,Female,1,No,No,20,Fiberoptic,No,No,No,No,No,Yes,Month-to-month,Yes,81.45,1671.6,No,0.309048653707099,0.690951346292901
5168-MQQCA,Female,0,Yes,No,72,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Oneyear,Yes,108.5,8003.8,No,0.862913060907219,0.137086939092781
3649-JPUGY,Male,0,No,No,72,DSL,No,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,88.6,6201.95,No,0.981633508296002,1.8366491703998e-02
8372-JUXUI,Male,0,No,Yes,1,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,74.35,74.35,Yes,0.357084153078145,0.642915846921855
4134-BSXLX,Male,0,Yes,No,28,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,60.9,1785.65,No,0.922788635326812,7.72113646731881e-02
